State,Total murders1,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.2"
Alabama,199.0,135.0,112.0,0.0,23.0,0.0,23.0,24.0,17.0
Alaska,31.0,19.0,3.0,5.0,1.0,10.0,4.0,4.0,4.0
Arizona,352.0,232.0,152.0,14.0,10.0,56.0,51.0,62.0,7.0
Arkansas,130.0,93.0,49.0,7.0,4.0,33.0,12.0,21.0,4.0
California,1811.0,1257.0,953.0,59.0,44.0,201.0,250.0,201.0,103.0
Colorado,117.0,65.0,34.0,0.0,4.0,27.0,20.0,21.0,11.0
Connecticut,131.0,97.0,72.0,0.0,1.0,24.0,20.0,8.0,6.0
Delaware,48.0,38.0,25.0,0.0,2.0,11.0,8.0,0.0,2.0
District of Columbia,131.0,99.0,32.0,0.0,0.0,67.0,20.0,7.0,5.0
Georgia,527.0,376.0,315.0,19.0,21.0,21.0,64.0,85.0,2.0
Hawaii,24.0,7.0,6.0,0.0,0.0,1.0,6.0,5.0,6.0
Idaho,21.0,12.0,12.0,0.0,0.0,0.0,4.0,2.0,3.0
Illinois,453.0,364.0,355.0,3.0,1.0,5.0,30.0,43.0,16.0
Indiana,198.0,142.0,83.0,11.0,7.0,41.0,19.0,25.0,12.0
Iowa,38.0,21.0,9.0,1.0,4.0,7.0,4.0,9.0,4.0
Kansas,100.0,63.0,30.0,4.0,1.0,28.0,13.0,18.0,6.0
Kentucky,180.0,116.0,76.0,6.0,16.0,18.0,19.0,25.0,20.0
Louisiana,437.0,351.0,263.0,19.0,11.0,58.0,42.0,31.0,13.0
Maine,24.0,11.0,4.0,2.0,1.0,4.0,6.0,1.0,6.0
Maryland,424.0,293.0,272.0,3.0,12.0,6.0,59.0,53.0,19.0
Massachusetts,209.0,118.0,52.0,0.0,1.0,65.0,50.0,31.0,10.0
Michigan,558.0,413.0,239.0,25.0,14.0,135.0,43.0,71.0,31.0
Minnesota,91.0,53.0,43.0,2.0,8.0,0.0,14.0,16.0,8.0
Mississippi,165.0,120.0,98.0,3.0,12.0,7.0,21.0,19.0,5.0
Missouri,419.0,321.0,189.0,26.0,4.0,102.0,35.0,49.0,14.0
Montana,21.0,12.0,6.0,2.0,4.0,0.0,3.0,5.0,1.0
Nebraska,51.0,32.0,29.0,1.0,2.0,0.0,8.0,5.0,6.0
Nevada,158.0,84.0,57.0,5.0,6.0,16.0,22.0,34.0,18.0
New Hampshire,13.0,5.0,2.0,0.0,2.0,1.0,5.0,3.0,0.0
New Jersey,363.0,246.0,216.0,7.0,2.0,21.0,50.0,39.0,28.0
New Mexico,118.0,67.0,36.0,6.0,2.0,23.0,29.0,15.0,7.0
New York,860.0,517.0,135.0,6.0,12.0,364.0,173.0,148.0,22.0
North Carolina,445.0,286.0,188.0,21.0,25.0,52.0,56.0,72.0,31.0
North Dakota,9.0,4.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0
Ohio,460.0,310.0,176.0,7.0,2.0,125.0,40.0,93.0,17.0
Oklahoma,188.0,111.0,86.0,8.0,7.0,10.0,24.0,32.0,21.0
Oregon,78.0,36.0,20.0,1.0,2.0,13.0,16.0,17.0,9.0
Pennsylvania,646.0,457.0,367.0,8.0,11.0,71.0,67.0,94.0,28.0
Rhode Island,29.0,16.0,2.0,1.0,1.0,12.0,5.0,6.0,2.0
South Carolina,280.0,207.0,136.0,8.0,7.0,56.0,22.0,34.0,17.0
South Dakota,14.0,8.0,3.0,0.0,1.0,4.0,2.0,4.0,0.0
Tennessee,356.0,219.0,146.0,12.0,11.0,50.0,35.0,83.0,19.0
Texas,1246.0,805.0,581.0,34.0,48.0,142.0,202.0,130.0,109.0
Utah,52.0,22.0,16.0,0.0,1.0,5.0,7.0,12.0,11.0
Vermont,7.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0
Virginia,369.0,250.0,137.0,9.0,12.0,92.0,47.0,50.0,22.0
Washington,151.0,93.0,73.0,4.0,2.0,14.0,24.0,22.0,12.0
West Virginia,55.0,27.0,16.0,0.0,4.0,7.0,11.0,9.0,8.0
Wisconsin,151.0,97.0,63.0,5.0,6.0,23.0,13.0,22.0,19.0
Wyoming,8.0,5.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0
Virgin Islands,50.0,41.0,36.0,1.0,0.0,4.0,4.0,5.0,0.0
